source_table,source_id,related_conversation_id,subtype,state,occurred_at,compatibility_class,recommendation
messages,dd43e242-7cfe-4196-8fc8-d3820d0d62b1,762559f0-5112-4040-9166-3fdd38d177ea,user,,2026-04-16 00:39:00.895578-07,synthetic_eval,do_not_replay
jobs,58b579f2-820e-40fd-a6af-dc8ad21f0a88,762559f0-5112-4040-9166-3fdd38d177ea,turn.integrity,completed,2026-04-16 00:39:00.953791-07,synthetic_eval,do_not_replay
job_attempts,799c803f-009f-4ade-a31d-2fd76e82be24,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:01.685901-07,synthetic_eval,do_not_replay
job_attempts,e29ab167-dbf6-4718-bc6b-ee6904769764,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:04.625991-07,synthetic_eval,do_not_replay
job_attempts,b4dbe0e1-53d8-4d96-9609-b361e91dae89,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:05.563246-07,synthetic_eval,do_not_replay
jobs,645a516e-922d-42de-9109-b244322b08d4,762559f0-5112-4040-9166-3fdd38d177ea,turn.process,completed,2026-04-16 00:39:06.303569-07,synthetic_eval,do_not_replay
job_attempts,670cf076-41e1-4461-b84e-454168142cde,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:06.627009-07,synthetic_eval,do_not_replay
messages,ba9031a5-5eb9-4f74-942a-ebd48e6c4d6f,762559f0-5112-4040-9166-3fdd38d177ea,assistant,,2026-04-16 00:39:08.164878-07,synthetic_eval,do_not_replay
outbox,abcd5361-9fc7-43ff-a728-f8446b836815,762559f0-5112-4040-9166-3fdd38d177ea,twilio.reply,delivered,2026-04-16 00:39:08.217727-07,synthetic_eval,do_not_replay
jobs,7d0dbd02-e574-4908-96a1-215488fa1e17,762559f0-5112-4040-9166-3fdd38d177ea,conversation.summarize,completed,2026-04-16 00:39:08.415156-07,synthetic_eval,do_not_replay
jobs,0408fe1e-a64a-4b7a-9b49-e09ba0b6c648,762559f0-5112-4040-9166-3fdd38d177ea,customer.extract_facts,completed,2026-04-16 00:39:08.417909-07,synthetic_eval,do_not_replay
jobs,86703beb-fe2c-4d9e-84c3-3e582d27da82,762559f0-5112-4040-9166-3fdd38d177ea,message.embed,completed,2026-04-16 00:39:08.421984-07,synthetic_eval,do_not_replay
job_attempts,4b754bce-0046-4cae-83eb-ae9c4efc1306,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:08.673527-07,synthetic_eval,do_not_replay
messages,87cc90db-81f6-4bb3-8283-09d32b5931c6,762559f0-5112-4040-9166-3fdd38d177ea,user,,2026-04-16 00:39:24.005107-07,synthetic_eval,do_not_replay
jobs,6c8b76fa-d41d-4102-9fbd-99cc4c16644c,762559f0-5112-4040-9166-3fdd38d177ea,turn.integrity,completed,2026-04-16 00:39:24.081505-07,synthetic_eval,do_not_replay
job_attempts,3397bbb6-5fc4-4dcb-8b09-20916e35522e,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:24.585803-07,synthetic_eval,do_not_replay
job_attempts,a0e4b8ed-eab5-42db-bad0-8960cdf71ec6,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:25.25319-07,synthetic_eval,do_not_replay
job_attempts,7603bdac-010c-428a-9289-bcfe27de4a29,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:27.619524-07,synthetic_eval,do_not_replay
jobs,a030eecb-ad83-4342-bb76-113c91c62d21,762559f0-5112-4040-9166-3fdd38d177ea,turn.process,completed,2026-04-16 00:39:28.935993-07,synthetic_eval,do_not_replay
job_attempts,cae3e41d-6313-4c09-bbf1-28d1d2dcffdc,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:29.278725-07,synthetic_eval,do_not_replay
messages,270f6ccf-acc1-47ee-a9b3-ab28bd8e11f7,762559f0-5112-4040-9166-3fdd38d177ea,assistant,,2026-04-16 00:39:31.548131-07,synthetic_eval,do_not_replay
outbox,5e164531-58fb-4307-b952-588273b72dd8,762559f0-5112-4040-9166-3fdd38d177ea,twilio.reply,delivered,2026-04-16 00:39:31.611808-07,synthetic_eval,do_not_replay
jobs,2260fd57-c86f-40ce-ba1b-a45b1d88b2b8,762559f0-5112-4040-9166-3fdd38d177ea,conversation.summarize,completed,2026-04-16 00:39:31.805432-07,synthetic_eval,do_not_replay
jobs,7180cebf-7100-490c-b01d-cc99b5674cf4,762559f0-5112-4040-9166-3fdd38d177ea,customer.extract_facts,completed,2026-04-16 00:39:31.808977-07,synthetic_eval,do_not_replay
jobs,e9929cd9-3c79-4b2f-9a60-84e7045ea24a,762559f0-5112-4040-9166-3fdd38d177ea,message.embed,completed,2026-04-16 00:39:31.859212-07,synthetic_eval,do_not_replay
job_attempts,79a20630-2938-4154-a4b7-21a92e6bea9b,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:32.144317-07,synthetic_eval,do_not_replay
messages,fff78b3b-24b4-4cf2-ab1c-1ebd985dc17c,762559f0-5112-4040-9166-3fdd38d177ea,user,,2026-04-16 00:39:46.601142-07,synthetic_eval,do_not_replay
jobs,c9621fb8-e3d8-46db-ab6c-bec29f085da7,762559f0-5112-4040-9166-3fdd38d177ea,turn.integrity,completed,2026-04-16 00:39:46.651991-07,synthetic_eval,do_not_replay
job_attempts,d30d21ad-85d6-424e-addd-c7cfe98a4238,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:47.176032-07,synthetic_eval,do_not_replay
job_attempts,8c8b9620-41f0-4e19-814b-eae05a4a3db7,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:47.833937-07,synthetic_eval,do_not_replay
job_attempts,dc345a11-59d8-4206-9fbc-659cf4fd12e9,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:50.791875-07,synthetic_eval,do_not_replay
jobs,ad39e1e6-74a1-429f-b843-31362f3c672d,762559f0-5112-4040-9166-3fdd38d177ea,turn.process,completed,2026-04-16 00:39:51.63397-07,synthetic_eval,do_not_replay
job_attempts,55de29b4-e6f6-4fbb-afb2-c384d0d9678c,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:52.011894-07,synthetic_eval,do_not_replay
messages,789238ac-cdea-411a-9fa8-b19d7c48f1d5,762559f0-5112-4040-9166-3fdd38d177ea,assistant,,2026-04-16 00:39:57.825114-07,synthetic_eval,do_not_replay
outbox,244d3b63-69bb-4330-bdac-6a76c1f30bc4,762559f0-5112-4040-9166-3fdd38d177ea,twilio.reply,delivered,2026-04-16 00:39:57.899262-07,synthetic_eval,do_not_replay
jobs,8f5a5cff-7655-4951-bdf0-4e684d03104a,762559f0-5112-4040-9166-3fdd38d177ea,conversation.summarize,completed,2026-04-16 00:39:58.090413-07,synthetic_eval,do_not_replay
jobs,6ab838ef-1215-493d-96af-f55ad33df5bc,762559f0-5112-4040-9166-3fdd38d177ea,customer.extract_facts,completed,2026-04-16 00:39:58.095364-07,synthetic_eval,do_not_replay
jobs,53fcc05c-7bfd-43fc-84ee-871351806789,762559f0-5112-4040-9166-3fdd38d177ea,message.embed,completed,2026-04-16 00:39:58.13685-07,synthetic_eval,do_not_replay
job_attempts,99f3023c-6321-475b-8039-04389a882484,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:39:58.441827-07,synthetic_eval,do_not_replay
messages,78f9fce2-5ff6-464e-bd79-9391943208df,762559f0-5112-4040-9166-3fdd38d177ea,user,,2026-04-16 00:40:15.564845-07,synthetic_eval,do_not_replay
jobs,c4960307-dabc-48fb-b298-9f732607edcc,762559f0-5112-4040-9166-3fdd38d177ea,turn.integrity,completed,2026-04-16 00:40:15.618428-07,synthetic_eval,do_not_replay
job_attempts,3983a930-a720-4333-8ea4-82cd2f55cec8,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:16.040381-07,synthetic_eval,do_not_replay
job_attempts,2255f76c-b306-4bcf-a88a-9f0a1363c1e6,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:18.237607-07,synthetic_eval,do_not_replay
job_attempts,316bb085-96ff-496a-be67-e871471deccb,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:18.872386-07,synthetic_eval,do_not_replay
jobs,b3e9bd8c-eccc-43b8-8f9c-0491ab5e887f,762559f0-5112-4040-9166-3fdd38d177ea,turn.process,completed,2026-04-16 00:40:19.713193-07,synthetic_eval,do_not_replay
job_attempts,c8ea0da3-cbb9-49b3-b08e-98664215a306,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:20.062312-07,synthetic_eval,do_not_replay
messages,4020f055-8bc5-44e7-a4de-6ba7dec9c757,762559f0-5112-4040-9166-3fdd38d177ea,assistant,,2026-04-16 00:40:22.059761-07,synthetic_eval,do_not_replay
outbox,a57afc42-3083-46d1-953e-f15907cdbd45,762559f0-5112-4040-9166-3fdd38d177ea,twilio.reply,delivered,2026-04-16 00:40:22.116066-07,synthetic_eval,do_not_replay
jobs,0d858e09-8840-4647-9258-dd407ea63598,762559f0-5112-4040-9166-3fdd38d177ea,customer.extract_facts,completed,2026-04-16 00:40:22.285733-07,synthetic_eval,do_not_replay
jobs,11a63237-5424-4891-86e9-4787474ccfcb,762559f0-5112-4040-9166-3fdd38d177ea,conversation.summarize,completed,2026-04-16 00:40:22.286485-07,synthetic_eval,do_not_replay
jobs,e9f7c1f1-0d4e-40cf-a954-6119585688cc,762559f0-5112-4040-9166-3fdd38d177ea,message.embed,completed,2026-04-16 00:40:22.293466-07,synthetic_eval,do_not_replay
job_attempts,6f180590-b0ea-4aa6-aa83-d7b7cf907a62,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:22.597998-07,synthetic_eval,do_not_replay
messages,3a803654-26db-47bd-b9d5-45303d791646,762559f0-5112-4040-9166-3fdd38d177ea,user,,2026-04-16 00:40:32.976556-07,synthetic_eval,do_not_replay
jobs,9c07ad85-6bee-4134-8d77-a5bedc3499b9,762559f0-5112-4040-9166-3fdd38d177ea,turn.integrity,completed,2026-04-16 00:40:33.046481-07,synthetic_eval,do_not_replay
job_attempts,2c919d6a-338b-4477-8ed1-c919a6abf79b,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:33.531595-07,synthetic_eval,do_not_replay
job_attempts,b42d3c7b-34cb-40c3-bee3-8601c64a553c,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:34.152155-07,synthetic_eval,do_not_replay
job_attempts,ff1dbaa6-7127-44d0-853c-795a6e784856,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:36.076393-07,synthetic_eval,do_not_replay
jobs,ab97f8cf-fafa-4743-9630-1e4307371beb,762559f0-5112-4040-9166-3fdd38d177ea,turn.process,completed,2026-04-16 00:40:36.901052-07,synthetic_eval,do_not_replay
job_attempts,af2ea7ab-cdca-4d93-9400-fd31ae7b983b,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:37.214012-07,synthetic_eval,do_not_replay
messages,5faef72f-30ff-45bb-9ef6-999e582dd27c,762559f0-5112-4040-9166-3fdd38d177ea,assistant,,2026-04-16 00:40:41.370707-07,synthetic_eval,do_not_replay
outbox,b2292f84-75aa-43bc-9b16-359b824875c6,762559f0-5112-4040-9166-3fdd38d177ea,twilio.reply,delivered,2026-04-16 00:40:41.426358-07,synthetic_eval,do_not_replay
jobs,b5199a70-8764-49ec-97ba-c24cf882d6f8,762559f0-5112-4040-9166-3fdd38d177ea,customer.extract_facts,completed,2026-04-16 00:40:41.596228-07,synthetic_eval,do_not_replay
jobs,3403654a-cd90-4ff0-9bf2-ae792b3ff65d,762559f0-5112-4040-9166-3fdd38d177ea,message.embed,completed,2026-04-16 00:40:41.597491-07,synthetic_eval,do_not_replay
jobs,28c15793-dcb3-48aa-85bf-d798bf5188c9,762559f0-5112-4040-9166-3fdd38d177ea,conversation.summarize,completed,2026-04-16 00:40:41.599097-07,synthetic_eval,do_not_replay
job_attempts,2930d717-2ec1-4bc0-8e9f-a9f2d994cb3d,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:41.866139-07,synthetic_eval,do_not_replay
messages,cba5ab75-65ed-40cd-badf-f8c8b3047b4f,762559f0-5112-4040-9166-3fdd38d177ea,user,,2026-04-16 00:40:50.633124-07,synthetic_eval,do_not_replay
jobs,cca8e3ce-1d2a-4333-a09e-2ac0ee51c511,762559f0-5112-4040-9166-3fdd38d177ea,turn.integrity,completed,2026-04-16 00:40:50.690961-07,synthetic_eval,do_not_replay
job_attempts,0f7222ca-7269-44c4-b7b6-ceb54358cbb2,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:51.234278-07,synthetic_eval,do_not_replay
job_attempts,216ecfba-066e-44f6-a496-013d88e9d7a5,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:53.272732-07,synthetic_eval,do_not_replay
job_attempts,395a84df-62fc-4b11-b412-aeba290186ad,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:55.501912-07,synthetic_eval,do_not_replay
jobs,811eca28-c104-46b3-8e64-e54b96576f97,762559f0-5112-4040-9166-3fdd38d177ea,turn.process,completed,2026-04-16 00:40:56.387799-07,synthetic_eval,do_not_replay
job_attempts,439d79e0-7693-41d5-9d8a-6f10c0e833ca,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:40:56.740048-07,synthetic_eval,do_not_replay
messages,9ff0667b-68d9-46a5-87db-091be2d3a823,762559f0-5112-4040-9166-3fdd38d177ea,assistant,,2026-04-16 00:41:00.846505-07,synthetic_eval,do_not_replay
outbox,b7696a30-b4e4-4f14-8ae1-5b6c704f01f2,762559f0-5112-4040-9166-3fdd38d177ea,twilio.reply,delivered,2026-04-16 00:41:00.904081-07,synthetic_eval,do_not_replay
jobs,6eb3eaba-be9e-41aa-af52-5bfb66e402b5,762559f0-5112-4040-9166-3fdd38d177ea,message.embed,completed,2026-04-16 00:41:01.345073-07,synthetic_eval,do_not_replay
jobs,0bb587f3-3fc3-4f6d-b261-07f419502200,762559f0-5112-4040-9166-3fdd38d177ea,customer.extract_facts,pending,2026-04-16 00:41:01.345818-07,synthetic_eval,do_not_replay
jobs,3d909e21-f113-4a1e-a804-4aaaa2a14041,762559f0-5112-4040-9166-3fdd38d177ea,conversation.summarize,pending,2026-04-16 00:41:01.346796-07,synthetic_eval,do_not_replay
job_attempts,6b10ed9b-e726-4a61-9ed7-fd6babcd244d,762559f0-5112-4040-9166-3fdd38d177ea,attempt_1,success,2026-04-16 00:41:01.866629-07,synthetic_eval,do_not_replay
